"cowID","seasonyr","milkAUC","cowagen","cdate","calfsex","stage","BCS","BW"
7157,"March2021",1244.184712,4,17,"steer","prebreed",4.75,393.264264
7166,"March2021",1280.812266,4,9,"heifer","prebreed",4.875,418.211824
7170,"March2021",1331.253965,4,18,"heifer","prebreed",4.75,367.40952
7190,"March2021",1145.748444,4,19,"steer","prebreed",4.75,382.831648
7220,"March2021",1165.658865,4,14,"steer","prebreed",6,403.243288
7230,"March2021",1022.287506,4,17,"steer","prebreed",5.375,479.900336
7266,"March2021",776.8375349,4,10,"heifer","prebreed",6,438.169872
7298,"March2021",1069.12088,4,9,"heifer","prebreed",4.5,389.181936
7317,"March2021",1257.125692,4,8,"steer","prebreed",5.125,371.94544
7318,"March2021",1109.730972,4,18,"heifer","prebreed",5.125,418.211824
7331,"March2021",1156.178792,4,21,"heifer","prebreed",4.75,352.894576
5612,"May2021",1111.391118,6,24,"steer","prebreed",6,522.084392
5713,"May2021",1079.281341,6,13,"heifer","prebreed",6,554.743016
5723,"May2021",1122.594841,6,7,"heifer","prebreed",6.125,493.961688
5729,"May2021",977.8944569,6,15,"heifer","prebreed",6,539.77448
5748,"May2021",1313.622844,6,21,"steer","prebreed",5.75,527.527496
5766,"May2021",991.1211996,6,14,"heifer","prebreed",6.125,617.792304
5798,"May2021",840.4447411,6,20,"steer","prebreed",6.375,601.0094
6601,"May2021",1046.046655,5,23,"steer","prebreed",5.5,404.150472
6604,"May2021",1104.659813,5,10,"heifer","prebreed",5.375,436.809096
6708,"May2021",796.9974314,5,17,"steer","prebreed",6.25,638.203944
6718,"May2021",829.0187586,5,14,"steer","prebreed",5.5,494.41528
6726,"May2021",966.7995966,5,4,"heifer","prebreed",5.875,452.231224
6742,"May2021",953.0807065,5,17,"heifer","prebreed",6.25,572.433104
6751,"May2021",1138.892401,5,1,"heifer","prebreed",5.75,461.303064
6760,"May2021",1230.127896,5,10,"steer","prebreed",6,492.600912
6774,"May2021",1134.195456,5,9,"steer","prebreed",5.625,436.809096
6780,"May2021",1278.449052,5,31,"steer","prebreed",6,523.89876
7012,"May2021",1169.373784,4,2,"heifer","prebreed",6,559.732528
7039,"May2021",1244.166569,4,18,"heifer","prebreed",6,496.68324
7067,"May2021",1057.672218,4,14,"steer","prebreed",5.125,452.684816
7629,"May2021",639.510289,4,29,"steer","prebreed",6,474.910824
7632,"May2021",1036.632353,4,15,"steer","prebreed",5.5,435.44832
7701,"May2021",1132.333461,4,21,"heifer","prebreed",6,503.940712
7708,"May2021",1234.368981,4,12,"heifer","prebreed",6,551.567872
7719,"May2021",844.132444,4,30,"steer","prebreed",6.25,638.203944
7727,"May2021",1365.11234,4,4,"steer","prebreed",6.125,532.9706
7733,"May2021",972.5874305,4,29,"steer","prebreed",6,461.756656
7749,"May2021",1088.824916,4,15,"steer","prebreed",6,549.753504
7789,"May2021",1024.135893,4,6,"heifer","prebreed",5.625,463.117432
4008,"March2020",860.3356933,6,10,"steer","breed",5.25,464.024616
4045,"March2020",1372.741249,6,4,"steer","breed",5.625,489.425768
4218,"March2020",1048.074925,6,17,"steer","breed",5.125,504.394304
4224,"March2020",1110.653032,6,13,"steer","breed",5.75,585.587272
4251,"March2020",1218.710141,6,13,"heifer","breed",6,542.949624
4253,"March2020",1115.233139,6,10,"steer","breed",5.75,434.541136
4263,"March2020",894.6621705,6,3,"heifer","breed",6,584.226496
4268,"March2020",976.8842136,6,12,"heifer","breed",5.5,540.681664
4287,"March2020",1038.949403,6,10,"heifer","breed",5.375,477.178784
4288,"March2020",1024.957195,6,17,"steer","breed",5.375,429.551624
4305,"March2020",1126.714686,6,3,"heifer","breed",6,527.981088
4314,"March2020",1151.630028,6,1,"steer","breed",5.5,528.888272
4354,"March2020",872.2848443,6,13,"heifer","breed",5,479.446744
5001,"March2020",1042.374612,5,4,"heifer","breed",5.625,518.455656
5023,"March2020",955.5086017,5,18,"heifer","breed",5.5,485.34344
5037,"March2020",850.6136088,5,10,"steer","breed",5.875,527.527496
5044,"March2020",987.2385015,5,9,"heifer","breed",5.625,449.963264
5060,"March2020",774.4688938,5,20,"steer","breed",4.75,449.509672
5101,"March2020",1161.779062,5,15,"heifer","breed",5.25,530.249048
5114,"March2020",872.7526936,5,2,"steer","breed",5.125,398.253776
5124,"March2020",1032.723017,5,14,"steer","breed",5.5,454.499184
5182,"March2020",995.0889525,5,9,"heifer","breed",6,580.144168
5195,"March2020",821.833078,5,14,"steer","breed",5.25,504.847896
5213,"March2020",722.1102005,5,8,"heifer","breed",5.375,510.744592
5245,"March2020",786.8294155,5,9,"heifer","breed",5,391.903488
5299,"March2020",931.7867584,5,9,"steer","breed",5.75,494.41528
6122,"March2020",687.9331083,4,8,"steer","breed",5.625,413.675904
6126,"March2020",799.4298044,4,4,"heifer","breed",6,539.77448
6164,"March2020",898.4546161,4,14,"steer","breed",5.25,493.054504
6254,"March2020",1045.954726,4,12,"heifer","breed",5.75,497.136832
3711,"May2020",968.7467904,6,16,"steer","breed",5.125,468.560536
3739,"May2020",1110.713992,6,18,"steer","breed",5.875,532.517008
3750,"May2020",492.3461521,6,19,"heifer","breed",6.125,641.379088
3759,"May2020",1183.197274,6,11,"heifer","breed",5.75,537.50652
3789,"May2020",750.8008053,6,15,"heifer","breed",5.625,615.070752
4704,"May2020",1096.881107,6,14,"steer","breed",6,623.235408
4744,"May2020",844.3002645,6,21,"heifer","breed",6,645.915008
4748,"May2020",826.888593,6,1,"heifer","breed",6,610.08124
4797,"May2020",971.4805599,6,12,"heifer","breed",5.25,532.517008
4798,"May2020",1125.239768,6,14,"heifer","breed",6,531.156232
5602,"May2020",1086.445039,5,3,"heifer","breed",5.625,508.476632
